g0_m,g1_m,g2_m,g3_m,g4_m,g5_m,g6_m,g7_m,g8_m,g0_s,g1_s,g2_s,g3_s,g4_s,g5_s,g6_s,g7_s,g8_s,label
14,7,1,1,4,5,4,4,2,0,0,0,6,7,5,2,2,2,0
5,8,0,1,4,5,4,4,3,0,0,0,6,6,5,2,2,2,0
10,3,2,2,4,5,4,4,3,0,0,0,6,6,5,2,2,2,0
11,4,1,2,4,4,4,4,3,0,0,0,6,6,5,2,2,2,0
7,2,1,2,4,4,4,4,3,0,0,0,6,6,5,2,2,2,0
12,4,1,2,4,5,3,4,3,0,0,0,5,5,4,2,2,2,0
3,2,1,2,3,4,4,4,3,0,0,0,5,5,4,2,2,2,0
7,4,1,3,4,5,4,4,3,0,0,0,5,5,4,2,2,2,0
8,4,1,2,4,5,4,4,3,0,0,0,5,4,4,2,2,2,0
3,5,1,2,4,5,3,5,2,0,0,0,4,4,3,2,2,2,0
7,4,2,2,3,4,4,4,3,0,0,0,4,3,3,2,2,2,0
6,6,1,1,5,4,4,4,3,0,0,0,4,3,3,2,2,2,0
13,9,1,2,3,5,4,4,3,0,0,0,3,3,3,2,2,2,0
11,6,1,2,3,5,3,4,3,0,0,0,3,3,3,2,2,2,0
7,4,2,3,4,3,5,4,3,0,0,0,3,3,3,2,2,2,0
5,4,2,2,5,4,5,4,3,0,0,0,3,3,3,2,2,2,0
10,5,1,1,5,4,4,4,2,0,0,0,3,3,3,2,2,2,0
15,5,2,1,5,4,4,4,3,0,0,0,3,3,3,2,2,2,0
6,2,1,2,4,4,4,4,3,0,0,0,3,3,3,2,2,2,0
5,3,1,1,5,4,4,4,2,0,0,0,3,3,3,2,2,2,0
9,1,1,2,5,4,4,4,3,0,0,0,3,3,3,2,2,2,0
6,3,2,1,5,4,4,4,3,0,0,0,3,3,3,2,2,2,0
5,4,1,1,5,4,4,4,3,0,0,0,3,3,3,2,2,2,0
4,6,1,2,4,5,4,5,2,0,0,0,3,3,4,2,2,2,0
12,2,1,2,4,5,4,3,4,0,0,0,3,3,3,2,2,2,0
8,8,2,3,3,5,4,4,3,0,0,0,3,3,3,2,2,2,0
3,5,1,2,4,5,3,4,3,0,0,0,3,3,3,2,2,2,0
4,3,1,2,4,4,3,4,2,0,0,0,3,3,4,2,1,2,0
9,1,1,2,4,4,4,4,3,0,0,0,2,3,4,2,1,2,0
6,5,1,2,3,5,3,4,3,0,0,0,2,3,4,2,1,2,0
9,2,1,2,4,4,4,4,3,0,0,0,2,3,3,2,1,2,0
7,8,2,1,6,5,3,4,3,0,0,0,2,3,3,3,1,2,0
4,6,3,7,3,6,3,4,3,0,0,0,3,3,4,3,1,2,0
12,5,2,5,3,6,3,4,3,0,0,0,4,3,4,3,1,2,0
18,3,2,4,2,6,3,4,3,0,0,0,4,4,4,3,1,2,0
8,7,3,5,1,7,3,4,3,0,0,0,4,5,4,3,1,2,0
9,3,2,5,1,6,3,4,3,0,0,0,5,5,4,3,1,2,0
5,4,2,4,2,7,3,4,3,0,0,0,5,5,4,3,1,2,0
13,9,2,4,2,6,3,4,3,0,0,0,5,5,4,3,1,2,0
7,8,2,3,3,6,3,4,3,0,0,0,6,6,4,3,1,2,0
4,6,2,2,4,7,3,4,3,0,0,0,6,6,4,3,1,2,0
16,8,2,2,5,7,3,4,2,0,0,0,6,6,4,3,1,2,0
5,3,1,2,4,6,3,4,3,0,0,0,7,7,4,3,1,2,0
4,3,1,1,4,6,3,4,3,0,0,0,7,7,4,4,1,2,0
17,5,1,2,4,6,3,5,2,0,0,0,7,7,4,4,1,2,0
4,2,1,2,5,5,3,4,3,0,0,0,8,7,4,3,1,2,0
4,3,1,4,1,5,3,4,3,0,0,0,8,8,4,3,1,2,0
16,10,4,7,1,6,3,5,3,0,0,0,9,8,4,3,1,2,0
13,2,3,5,2,5,3,4,3,0,0,0,10,9,4,3,1,2,0
10,4,3,5,2,5,3,4,3,0,0,0,10,9,4,3,1,1,0
5,6,3,5,2,6,4,4,3,0,0,0,10,9,4,3,1,2,0
9,8,4,5,2,6,3,4,3,0,0,0,10,9,4,3,2,2,0
14,7,4,6,2,7,3,5,2,0,0,0,10,9,4,3,1,2,0
6,2,3,5,2,6,3,4,3,0,0,0,9,9,4,3,1,2,0
7,5,3,6,3,6,3,4,3,0,0,0,9,8,3,3,2,2,0
13,6,4,6,3,6,3,4,3,0,0,0,9,8,3,3,2,2,0
9,5,3,5,2,5,3,5,3,0,0,0,9,8,3,3,2,2,0
11,5,3,5,3,5,3,5,2,0,0,0,8,7,3,3,2,2,0
7,4,3,6,2,5,3,4,3,0,0,0,8,7,3,3,2,2,0
