g0_m,g1_m,g2_m,g3_m,g4_m,g5_m,g6_m,g7_m,g8_m,g0_s,g1_s,g2_s,g3_s,g4_s,g5_s,g6_s,g7_s,g8_s,label
6,6,4,6,4,3,6,4,2,0,0,0,2,2,1,5,15,11,1
7,4,4,6,3,4,6,5,1,0,0,0,2,2,1,5,15,12,1
3,4,5,6,4,3,6,1,8,0,0,0,2,2,2,5,14,11,1
3,2,4,6,3,4,6,3,5,0,0,0,2,2,1,5,14,11,1
13,9,4,6,4,3,5,6,4,0,0,0,2,2,2,5,14,11,1
8,5,4,6,4,3,5,5,2,0,0,0,2,2,2,5,15,11,1
6,2,4,6,3,4,5,2,5,0,0,0,2,2,1,5,15,11,1
5,3,5,6,4,3,7,2,5,0,0,0,2,2,2,5,16,11,1
10,5,4,6,3,3,5,5,3,0,0,0,2,2,2,5,15,11,1
9,3,4,6,3,3,5,5,2,0,0,0,2,2,2,5,15,10,1
7,6,5,6,3,4,4,7,1,0,0,0,2,2,2,6,15,11,1
4,5,5,6,4,3,4,8,1,0,0,0,2,2,2,6,15,11,1
6,8,5,5,3,4,4,7,2,0,0,0,2,2,2,6,16,11,1
3,5,5,6,4,3,6,5,2,0,0,0,2,2,2,6,15,11,1
14,9,4,6,3,3,6,1,7,0,0,0,2,2,2,6,15,12,1
6,3,4,6,3,4,5,4,3,0,0,0,2,2,2,6,15,12,1
15,10,5,5,3,4,6,2,7,0,0,0,2,2,2,6,15,13,1
5,6,4,6,4,3,6,3,4,0,0,0,2,2,2,6,15,12,1
9,6,3,6,4,3,7,2,3,0,0,0,2,2,2,6,15,12,1
6,7,4,6,4,3,7,1,7,0,0,0,2,2,2,6,15,12,1
3,7,4,6,4,4,5,2,5,0,0,0,2,2,2,6,14,12,1
5,7,4,6,4,5,1,8,1,0,0,0,2,2,2,6,14,11,1
9,7,4,6,4,4,4,4,7,0,0,0,2,2,2,7,14,12,1
6,2,4,6,4,3,7,3,7,0,0,0,2,2,2,7,13,12,1
10,7,4,6,4,4,4,6,1,0,0,0,2,2,2,8,14,12,1
11,6,3,6,3,5,5,5,6,0,0,0,2,2,2,8,13,12,1
9,3,3,7,4,4,4,7,5,0,0,0,2,2,3,10,14,12,1
4,6,3,6,4,3,5,5,3,0,0,0,2,2,3,11,14,12,1
6,7,4,6,4,4,4,5,4,0,0,0,2,2,3,11,14,12,1
8,2,4,5,3,3,9,2,4,0,0,0,2,2,3,11,15,12,1
4,6,4,6,3,4,3,8,3,0,0,0,2,2,4,12,14,12,1
9,2,3,7,4,3,7,1,5,0,0,0,2,2,4,13,14,12,1
12,4,5,5,3,3,9,3,3,0,0,0,2,2,4,13,14,12,1
7,4,4,6,4,3,6,5,6,0,0,0,2,2,4,14,15,12,1
6,4,3,6,3,3,8,3,5,0,0,0,2,2,4,14,16,12,1
6,5,3,6,4,4,4,8,2,0,0,0,2,2,4,15,16,12,1
3,3,4,6,3,4,6,1,5,0,0,0,2,2,4,14,17,12,1
10,6,4,6,4,3,4,9,2,0,0,0,2,2,4,15,17,12,1
5,2,4,6,3,4,4,7,5,0,0,0,2,2,4,15,17,12,1
7,2,4,5,3,4,5,5,3,0,0,0,2,2,4,14,17,13,1
8,3,4,6,4,3,5,4,2,0,0,0,2,2,4,14,17,12,1
9,6,4,5,3,3,5,5,4,0,0,0,2,2,4,14,17,12,1
5,4,4,6,3,4,5,5,2,0,0,0,2,2,4,13,16,12,1
8,5,4,6,3,4,5,3,5,0,0,0,2,2,4,12,16,12,1
7,7,4,6,3,4,5,3,4,0,0,0,2,2,4,11,16,11,1
8,2,4,6,4,3,6,2,4,0,0,0,2,2,3,10,15,11,1
8,6,4,6,4,4,6,1,6,0,0,0,2,2,3,9,15,11,1
9,8,3,6,3,4,4,6,2,0,0,0,2,2,3,8,14,11,1
5,2,4,6,3,4,5,5,2,0,0,0,2,2,3,8,14,11,1
8,4,4,6,4,3,7,3,5,0,0,0,2,2,3,7,14,10,1
4,8,4,6,3,3,7,2,3,0,0,0,2,2,3,7,14,11,1
4,6,4,5,3,3,4,6,3,0,0,0,2,2,2,7,14,10,1
4,5,4,5,3,4,6,5,4,0,0,0,2,2,2,7,14,10,1
