g0_m,g1_m,g2_m,g3_m,g4_m,g5_m,g6_m,g7_m,g8_m,g0_s,g1_s,g2_s,g3_s,g4_s,g5_s,g6_s,g7_s,g8_s,label
9,5,1,4,4,6,3,4,3,0,0,0,2,2,2,2,1,2,2
10,3,1,3,4,5,3,4,4,0,0,0,2,2,2,2,1,2,2
4,3,2,5,5,5,4,4,3,0,0,0,2,2,2,2,1,2,2
5,2,1,4,4,6,3,4,3,0,0,0,2,2,2,2,1,2,2
5,4,2,4,4,5,4,4,4,0,0,0,2,2,2,2,1,2,2
8,4,1,4,4,5,3,4,4,0,0,0,2,2,2,2,1,2,2
5,6,2,5,4,5,3,4,4,0,0,0,2,2,2,2,1,2,2
5,6,2,4,4,5,3,5,3,0,0,0,2,2,2,2,1,2,2
10,6,1,4,4,6,3,4,4,0,0,0,2,2,2,2,1,2,2
5,3,2,4,4,5,4,4,3,0,0,0,2,2,2,2,1,2,2
12,3,1,3,4,5,4,4,3,0,0,0,2,2,2,2,1,2,2
7,2,1,4,4,5,4,4,3,0,0,0,2,2,2,2,1,2,2
9,5,1,4,4,5,3,5,3,0,0,0,2,2,2,2,1,2,2
4,4,2,3,4,5,3,5,3,0,0,0,2,2,2,2,1,2,2
7,3,2,4,4,5,4,4,5,0,0,0,2,2,2,2,1,2,2
4,3,2,4,4,5,4,4,4,0,0,0,2,2,2,2,2,2,2
8,3,1,4,4,5,3,5,3,0,0,0,2,2,2,2,2,2,2
5,4,2,4,3,6,3,4,4,0,0,0,2,2,2,2,2,2,2
12,6,2,4,4,5,4,5,4,0,0,0,2,2,2,2,2,2,2
3,2,2,4,4,5,3,5,3,0,0,0,2,2,2,2,2,2,2
8,3,1,4,4,6,3,5,3,0,0,0,2,1,2,2,1,2,2
9,2,1,4,4,6,3,5,3,0,0,0,2,2,1,2,1,2,2
4,2,2,4,3,6,3,5,3,0,0,0,2,2,1,2,1,2,2
7,2,3,5,4,5,3,4,4,0,0,0,2,2,1,2,1,2,2
7,4,2,5,4,5,3,4,3,0,0,0,2,2,1,2,1,2,2
7,3,1,5,4,5,3,4,3,0,0,0,2,2,1,2,1,2,2
7,4,2,4,4,5,4,4,3,0,0,0,2,2,1,2,1,2,2
12,4,3,5,4,5,3,5,3,0,0,0,2,2,1,2,1,2,2
